Target relationship: chronotype_desync -> cluster
Model Formula: Formula(cluster ~ age + chronotype_desync + patient_chronotype + sex + sri + (1|id))

                        mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd   ess_bulk  ess_tail  r_hat
1|id[1, 922]          -0.030  0.604  -1.193    1.062      0.005    0.009  16053.398  5627.373  1.001
1|id[1, 923]          -0.618  0.676  -1.909    0.648      0.006    0.010  13721.848  4685.406  1.001
1|id[1, 932]           0.180  0.646  -1.018    1.416      0.005    0.009  14590.706  4865.298  1.002
1|id[1, 933]          -0.175  0.592  -1.253    0.981      0.005    0.007  16168.273  6064.922  1.000
1|id[1, 934]          -0.707  0.650  -1.955    0.484      0.005    0.008  16421.547  5888.699  1.001
1|id[1, 935]           0.798  0.613  -0.320    1.986      0.005    0.009  16554.040  5369.084  1.001
1|id[1, 936]          -0.378  0.696  -1.636    0.976      0.005    0.009  17375.194  5517.958  1.001
1|id[1, 937]           0.053  0.672  -1.212    1.300      0.006    0.009  14864.700  5735.556  1.001
1|id[1, 938]           0.502  0.582  -0.653    1.523      0.005    0.007  13543.910  5907.084  1.001
1|id[1, 939]          -0.057  0.703  -1.377    1.230      0.006    0.009  14059.632  6023.086  1.000
1|id[1, 940]           0.649  0.581  -0.378    1.820      0.005    0.007  15698.483  6081.130  1.001
1|id[1, 941]          -0.639  0.646  -1.844    0.568      0.005    0.008  16895.666  6105.343  1.000
1|id[1, 942]          -0.336  0.584  -1.433    0.765      0.005    0.008  15892.569  5843.060  1.001
1|id[1, 944]          -0.156  0.577  -1.251    0.931      0.004    0.007  16771.011  5755.012  1.001
1|id[1, 945]           0.040  0.612  -1.095    1.187      0.005    0.008  15879.600  5754.013  1.000
1|id[1, 946]          -0.666  0.587  -1.783    0.424      0.005    0.007  16676.052  5401.132  1.001
1|id[1, 947]           0.908  0.588  -0.249    1.971      0.005    0.008  15724.190  5138.353  1.001
